name,year,department,email,phone,first_name,last_name
Jack Kilby,2000,Physics,info@jackkilby.com,948-461-212,Jack,Kilby
Alan J. Heeger,2000,Chemistry,info@alanj.heeger.com,355-106-418,Alan,Heeger
Gao Xingjian,2000,Literature,info@gaoxingjian.com,103-641-507,Gao,Xingjian
Kim Dae-jung,2000,Peace,info@kimdae-jung.com,827-297-102,Kim,Dae-jung
James Heckman,2000,Economics,info@jamesheckman.com,714-148-758,James,Heckman
Arvid Carlsson,2000,Medicine,info@arvidcarlsson.com,383-685-524,Arvid,Carlsson
Eric Allin Cornell,2001,Physics,info@ericallincornell.com,166-122-744,Eric,Cornell
William Standish Knowles,2001,Chemistry,info@williamstandishknowles.com,289-797-626,William,Knowles
V. S. Naipaul,2001,Literature,info@v.s.naipaul.com,578-284-560,V.,Naipaul
United Nations,2001,Peace,info@unitednations.com,591-310-870,United,Nations
George Akerlof,2001,Economics,info@georgeakerlof.com,765-706-231,George,Akerlof
Leland H. Hartwell,2001,Medicine,info@lelandh.hartwell.com,955-582-298,Leland,Hartwell
Riccardo Giacconi,2002,Physics,info@riccardogiacconi.com,210-496-828,Riccardo,Giacconi
John B. Fenn,2002,Chemistry,info@johnb.fenn.com,662-948-847,John,Fenn
Imre Kertész,2002,Literature,info@imrekertész.com,203-527-600,Imre,Kertész
Jimmy Carter,2002,Peace,info@jimmycarter.com,506-817-830,Jimmy,Carter
Daniel Kahneman,2002,Economics,info@danielkahneman.com,391-498-721,Daniel,Kahneman
Sydney Brenner,2002,Medicine,info@sydneybrenner.com,386-569-561,Sydney,Brenner
Alexei Abrikosov,2003,Physics,info@alexeiabrikosov.com,784-321-942,Alexei,Abrikosov
Peter Agre,2003,Chemistry,info@peteragre.com,385-127-522,Peter,Agre
J. M. Coetzee,2003,Literature,info@j.m.coetzee.com,757-670-907,J.,Coetzee
Shirin Ebadi,2003,Peace,info@shirinebadi.com,412-705-923,Shirin,Ebadi
Robert F. Engle,2003,Economics,info@robertf.engle.com,711-879-710,Robert,Engle
Paul Lauterbur,2003,Medicine,info@paullauterbur.com,435-100-612,Paul,Lauterbur
David Gross,2004,Physics,info@davidgross.com,307-522-820,David,Gross
Aaron Ciechanover,2004,Chemistry,info@aaronciechanover.com,475-506-931,Aaron,Ciechanover
Elfriede Jelinek,2004,Literature,info@elfriedejelinek.com,349-365-902,Elfriede,Jelinek
Wangari Maathai,2004,Peace,info@wangarimaathai.com,671-922-620,Wangari,Maathai
Finn E. Kydland,2004,Economics,info@finne.kydland.com,875-104-391,Finn,Kydland
Richard Axel,2004,Medicine,info@richardaxel.com,350-771-873,Richard,Axel
Roy J. Glauber,2005,Physics,info@royj.glauber.com,129-177-186,Roy,Glauber
Yves Chauvin,2005,Chemistry,info@yveschauvin.com,333-581-284,Yves,Chauvin
Harold Pinter,2005,Literature,info@haroldpinter.com,412-255-543,Harold,Pinter
International Atomic Energy Agency,2005,Peace,info@internationalatomicenergyagency.com,665-365-329,International,Agency
Robert Aumann,2005,Economics,info@robertaumann.com,414-708-163,Robert,Aumann
Barry Marshall,2005,Medicine,info@barrymarshall.com,308-621-596,Barry,Marshall
John C. Mather,2006,Physics,info@johnc.mather.com,143-195-933,John,Mather
